Country,TradeType,MonYear,Values
Sri Lanka,Trade Balance,3/1/2022,134991
Bahrain,Trade Balance,3/1/2022,30666
Cyprus,Trade Balance,3/1/2022,65343
Iran,Trade Balance,3/1/2022,-328
Israel,Trade Balance,3/1/2022,-41433
Jordan,Trade Balance,3/1/2022,6216
Kuwait,Trade Balance,3/1/2022,-83925
Lebanon,Trade Balance,3/1/2022,1668
Oman,Trade Balance,3/1/2022,45370
Qatar,Trade Balance,3/1/2022,-198165
Saudi Arabia,Trade Balance,3/1/2022,-1599685
Syrian Arab Republic,Trade Balance,3/1/2022,84
United Arab Emirates,Trade Balance,3/1/2022,-1632531
Yemen,Trade Balance,3/1/2022,1196
Yemen Democratic,Trade Balance,3/1/2022,0
Canada,Trade Balance,3/1/2022,-152965
Puerto Rico,Trade Balance,3/1/2022,64101
United States,Trade Balance,3/1/2022,564964
Argentina,Trade Balance,3/1/2022,14501
Brazil,Trade Balance,3/1/2022,-268898
Chile,Trade Balance,3/1/2022,-7674
Colombia,Trade Balance,3/1/2022,-14821
Ecuador,Trade Balance,3/1/2022,4851
Mexico,Trade Balance,3/1/2022,-12344
Paraguay,Trade Balance,3/1/2022,-138
Peru,Trade Balance,3/1/2022,6596
Uruguay,Trade Balance,3/1/2022,-129162
Venezuela,Trade Balance,3/1/2022,365
Australia,Trade Balance,3/1/2022,1303731
Fiji,Trade Balance,3/1/2022,23575
New Caledonia,Trade Balance,3/1/2022,40633
New Zealand,Trade Balance,3/1/2022,232834
Papua New Guinea,Trade Balance,3/1/2022,74069
French Polynesia,Trade Balance,3/1/2022,4812
Guam,Trade Balance,3/1/2022,5433
Solomon Islands,Trade Balance,3/1/2022,5274
Other Countries In Oceania,Trade Balance,3/1/2022,507347
Norway,Trade Balance,3/1/2022,-90633
Liechtenstein,Trade Balance,3/1/2022,-2640
Netherlands Antilles,Trade Balance,3/1/2022,-5
Panama,Trade Balance,3/1/2022,-193
Bahamas,Trade Balance,3/1/2022,0
Bermuda,Trade Balance,3/1/2022,-1
French Guiana,Trade Balance,3/1/2022,-2
Grenada,Trade Balance,3/1/2022,-41
Guatemala,Trade Balance,3/1/2022,-1931
Honduras,Trade Balance,3/1/2022,-320
Jamaica,Trade Balance,3/1/2022,-44
St Vincent & The Grenadines,Trade Balance,3/1/2022,0
Trinidad & Tobago,Trade Balance,3/1/2022,-24
Anguilla,Trade Balance,3/1/2022,-1
Other Countries In America,Trade Balance,3/1/2022,-29530
Nauru,Trade Balance,3/1/2022,-543
Cocos,Trade Balance,3/1/2022,-14
French Southern Territories,Trade Balance,3/1/2022,-9
Norfolk Island,Trade Balance,3/1/2022,0
Cook Islands,Trade Balance,3/1/2022,0
Kiribati,Trade Balance,3/1/2022,-1
Niue,Trade Balance,3/1/2022,-2
Tuvalu,Trade Balance,3/1/2022,0
Wallis & Fatuna Islands,Trade Balance,3/1/2022,0
Micronesia,Trade Balance,3/1/2022,-3
Palau,Trade Balance,3/1/2022,-137
South Sudan,Trade Balance,3/1/2022,0
Commonwealth Of Independent States,Trade Balance,3/1/2022,-80641
Belgium,Imports,2/1/2022,247242
Denmark,Imports,2/1/2022,40370
France,Imports,2/1/2022,1074703
"Germany, Federal Republic Of",Imports,2/1/2022,1074201
Greece,Imports,2/1/2022,40633
Ireland,Imports,2/1/2022,110898
Italy,Imports,2/1/2022,452391
Luxembourg,Imports,2/1/2022,7456
Netherlands,Imports,2/1/2022,213278
United Kingdom,Imports,2/1/2022,769356
Portugal,Imports,2/1/2022,26909
Spain,Imports,2/1/2022,160044
Austria,Imports,2/1/2022,80431
Finland,Imports,2/1/2022,30725
Sweden,Imports,2/1/2022,175309
Switzerland,Imports,2/1/2022,988959
Malta,Imports,2/1/2022,81616
"Germany, Democratic Republic Of",Imports,2/1/2022,0
Hungary,Imports,2/1/2022,27612
Poland,Imports,2/1/2022,57103
Estonia,Imports,2/1/2022,20506
Latvia,Imports,2/1/2022,2888
Lithuania,Imports,2/1/2022,8831
Slovenia,Imports,2/1/2022,5385
Czech Republic,Imports,2/1/2022,60391
Slovak Republic,Imports,2/1/2022,6294
Brunei Darussalam,Imports,2/1/2022,161909
Indonesia,Imports,2/1/2022,1752288
Malaysia,Imports,2/1/2022,5333950
Philippines,Imports,2/1/2022,962299
Thailand,Imports,2/1/2022,1231562
Myanmar,Imports,2/1/2022,5771
Cambodia,Imports,2/1/2022,15084
Laos People's Democratic Republic,Imports,2/1/2022,4162
"Vietnam, Socialist Republic Of",Imports,2/1/2022,445527
Japan,Imports,2/1/2022,2496003
Hong Kong,Imports,2/1/2022,210038
Republic Of Korea,Imports,2/1/2022,3042073
Taiwan,Imports,2/1/2022,6469836
Macau,Imports,2/1/2022,3225
Mainland China,Imports,2/1/2022,4799291
Afghanistan,Imports,2/1/2022,99
Bangladesh,Imports,2/1/2022,16678
India,Imports,2/1/2022,1038814
"Maldives, Republic Of",Imports,2/1/2022,96
Nepal,Imports,2/1/2022,28582
Pakistan,Imports,2/1/2022,16731
Sri Lanka,Imports,2/1/2022,10057
Bahrain,Imports,2/1/2022,1358
Cyprus,Imports,2/1/2022,28179
Iran,Imports,2/1/2022,316
Israel,Imports,2/1/2022,151344
Jordan,Imports,2/1/2022,2531
Kuwait,Imports,2/1/2022,3188
Lebanon,Imports,2/1/2022,121
Oman,Imports,2/1/2022,26302
Qatar,Imports,2/1/2022,599833
Saudi Arabia,Imports,2/1/2022,1040074
Syrian Arab Republic,Imports,2/1/2022,0
United Arab Emirates,Imports,2/1/2022,1486825
Yemen,Imports,2/1/2022,454
Yemen Democratic,Imports,2/1/2022,0
Canada,Imports,2/1/2022,197815
Puerto Rico,Imports,2/1/2022,14619
United States,Imports,2/1/2022,4444812
Argentina,Imports,2/1/2022,8302
Brazil,Imports,2/1/2022,458528
Chile,Imports,2/1/2022,36587
Colombia,Imports,2/1/2022,5529
Ecuador,Imports,2/1/2022,4001
Mexico,Imports,2/1/2022,183348
Paraguay,Imports,2/1/2022,404
Peru,Imports,2/1/2022,846
Uruguay,Imports,2/1/2022,3137
Venezuela,Imports,2/1/2022,17
Australia,Imports,2/1/2022,744590
Fiji,Imports,2/1/2022,215
New Caledonia,Imports,2/1/2022,59
New Zealand,Imports,2/1/2022,55143
Papua New Guinea,Imports,2/1/2022,13742
French Polynesia,Imports,2/1/2022,40
Guam,Imports,2/1/2022,52
Solomon Islands,Imports,2/1/2022,3
Other Countries In Oceania,Imports,2/1/2022,1231
Norway,Imports,2/1/2022,46708
Liechtenstein,Imports,2/1/2022,2804
Netherlands Antilles,Imports,2/1/2022,5
Panama,Imports,2/1/2022,29
Bahamas,Imports,2/1/2022,6
Bermuda,Imports,2/1/2022,0
French Guiana,Imports,2/1/2022,930
Grenada,Imports,2/1/2022,18
Guatemala,Imports,2/1/2022,1895
Honduras,Imports,2/1/2022,253
Jamaica,Imports,2/1/2022,104
St Vincent & The Grenadines,Imports,2/1/2022,0
Trinidad & Tobago,Imports,2/1/2022,30
Anguilla,Imports,2/1/2022,1
Other Countries In America,Imports,2/1/2022,25285
Nauru,Imports,2/1/2022,20
Cocos,Imports,2/1/2022,0
French Southern Territories,Imports,2/1/2022,32
Norfolk Island,Imports,2/1/2022,11
Cook Islands,Imports,2/1/2022,0
Kiribati,Imports,2/1/2022,0
Niue,Imports,2/1/2022,2
Tuvalu,Imports,2/1/2022,0
Wallis & Fatuna Islands,Imports,2/1/2022,0
Micronesia,Imports,2/1/2022,19
Palau,Imports,2/1/2022,0
South Sudan,Imports,2/1/2022,0
Commonwealth Of Independent States,Imports,2/1/2022,602562
Belgium,Exports,2/1/2022,1007201
Denmark,Exports,2/1/2022,26675
France,Exports,2/1/2022,382847
"Germany, Federal Republic Of",Exports,2/1/2022,722681
Greece,Exports,2/1/2022,137793
Ireland,Exports,2/1/2022,19881
Italy,Exports,2/1/2022,99591
Luxembourg,Exports,2/1/2022,21589
Netherlands,Exports,2/1/2022,1204414
United Kingdom,Exports,2/1/2022,451265
Portugal,Exports,2/1/2022,69206
Spain,Exports,2/1/2022,25349
Austria,Exports,2/1/2022,22749
Finland,Exports,2/1/2022,23829
Sweden,Exports,2/1/2022,14674
Switzerland,Exports,2/1/2022,225132
Malta,Exports,2/1/2022,169550
"Germany, Democratic Republic Of",Exports,2/1/2022,0
Hungary,Exports,2/1/2022,70320
Poland,Exports,2/1/2022,39804
Estonia,Exports,2/1/2022,1572
Latvia,Exports,2/1/2022,2661
Lithuania,Exports,2/1/2022,3576
Slovenia,Exports,2/1/2022,3112
Czech Republic,Exports,2/1/2022,55495
Slovak Republic,Exports,2/1/2022,3637
Brunei Darussalam,Exports,2/1/2022,95335
Indonesia,Exports,2/1/2022,3439005
Malaysia,Exports,2/1/2022,4802094
Philippines,Exports,2/1/2022,898526
Thailand,Exports,2/1/2022,1645446
Myanmar,Exports,2/1/2022,519274
Cambodia,Exports,2/1/2022,630559
Laos People's Democratic Republic,Exports,2/1/2022,2489
"Vietnam, Socialist Republic Of",Exports,2/1/2022,1770380
Japan,Exports,2/1/2022,2195357
Hong Kong,Exports,2/1/2022,6514766
Republic Of Korea,Exports,2/1/2022,1725244
Taiwan,Exports,2/1/2022,2484476
Macau,Exports,2/1/2022,36011
Mainland China,Exports,2/1/2022,6929035
Afghanistan,Exports,2/1/2022,411
Bangladesh,Exports,2/1/2022,674445
India,Exports,2/1/2022,1470299
"Maldives, Republic Of",Exports,2/1/2022,21129
Nepal,Exports,2/1/2022,17047
Pakistan,Exports,2/1/2022,104044
Sri Lanka,Exports,2/1/2022,136719
Bahrain,Exports,2/1/2022,19719
Cyprus,Exports,2/1/2022,50104
Iran,Exports,2/1/2022,1239
Israel,Exports,2/1/2022,82905
Jordan,Exports,2/1/2022,6404
Kuwait,Exports,2/1/2022,13719
Lebanon,Exports,2/1/2022,987
Oman,Exports,2/1/2022,59577
Qatar,Exports,2/1/2022,92609
Saudi Arabia,Exports,2/1/2022,68465
Syrian Arab Republic,Exports,2/1/2022,839
United Arab Emirates,Exports,2/1/2022,505840
Yemen,Exports,2/1/2022,1326
Yemen Democratic,Exports,2/1/2022,0
Canada,Exports,2/1/2022,134416
Puerto Rico,Exports,2/1/2022,42760
United States,Exports,2/1/2022,4036717
Argentina,Exports,2/1/2022,17621
Brazil,Exports,2/1/2022,224065
Chile,Exports,2/1/2022,7132
Colombia,Exports,2/1/2022,11796
Ecuador,Exports,2/1/2022,4926
Mexico,Exports,2/1/2022,200534
Paraguay,Exports,2/1/2022,382
Peru,Exports,2/1/2022,11823
Uruguay,Exports,2/1/2022,1558
Venezuela,Exports,2/1/2022,109
Australia,Exports,2/1/2022,1492564
Fiji,Exports,2/1/2022,21832
New Caledonia,Exports,2/1/2022,25375
New Zealand,Exports,2/1/2022,275263
Papua New Guinea,Exports,2/1/2022,96879
French Polynesia,Exports,2/1/2022,15961
Guam,Exports,2/1/2022,64137
Solomon Islands,Exports,2/1/2022,4775
Other Countries In Oceania,Exports,2/1/2022,578405
Belgium,Trade Balance,2/1/2022,759959
Denmark,Trade Balance,2/1/2022,-13695
France,Trade Balance,2/1/2022,-691856
"Germany, Federal Republic Of",Trade Balance,2/1/2022,-351520
Greece,Trade Balance,2/1/2022,97160
Ireland,Trade Balance,2/1/2022,-91017
Italy,Trade Balance,2/1/2022,-352800
Luxembourg,Trade Balance,2/1/2022,14133
Netherlands,Trade Balance,2/1/2022,991136
United Kingdom,Trade Balance,2/1/2022,-318091
Portugal,Trade Balance,2/1/2022,42297
Spain,Trade Balance,2/1/2022,-134695
Austria,Trade Balance,2/1/2022,-57682
Finland,Trade Balance,2/1/2022,-6896
Sweden,Trade Balance,2/1/2022,-160635
Switzerland,Trade Balance,2/1/2022,-763827
Malta,Trade Balance,2/1/2022,87934
"Germany, Democratic Republic Of",Trade Balance,2/1/2022,0
Hungary,Trade Balance,2/1/2022,42708
Poland,Trade Balance,2/1/2022,-17299
Estonia,Trade Balance,2/1/2022,-18934
Latvia,Trade Balance,2/1/2022,-227
Lithuania,Trade Balance,2/1/2022,-5255
Slovenia,Trade Balance,2/1/2022,-2273
Czech Republic,Trade Balance,2/1/2022,-4896
Slovak Republic,Trade Balance,2/1/2022,-2657
Brunei Darussalam,Trade Balance,2/1/2022,-66574
Indonesia,Trade Balance,2/1/2022,1686717
Malaysia,Trade Balance,2/1/2022,-531856
Philippines,Trade Balance,2/1/2022,-63773
Thailand,Trade Balance,2/1/2022,413884
Myanmar,Trade Balance,2/1/2022,513503
Cambodia,Trade Balance,2/1/2022,615475
Laos People's Democratic Republic,Trade Balance,2/1/2022,-1673
"Vietnam, Socialist Republic Of",Trade Balance,2/1/2022,1324853
Japan,Trade Balance,2/1/2022,-300646
Hong Kong,Trade Balance,2/1/2022,6304728
Republic Of Korea,Trade Balance,2/1/2022,-1316829
Taiwan,Trade Balance,2/1/2022,-3985360
Macau,Trade Balance,2/1/2022,32786
Mainland China,Trade Balance,2/1/2022,2129744
Afghanistan,Trade Balance,2/1/2022,312
Bangladesh,Trade Balance,2/1/2022,657767
India,Trade Balance,2/1/2022,431485
"Maldives, Republic Of",Trade Balance,2/1/2022,21033
Nepal,Trade Balance,2/1/2022,-11535
Pakistan,Trade Balance,2/1/2022,87313
Sri Lanka,Trade Balance,2/1/2022,126662
Bahrain,Trade Balance,2/1/2022,18361
Cyprus,Trade Balance,2/1/2022,21925
Iran,Trade Balance,2/1/2022,923
Israel,Trade Balance,2/1/2022,-68439
Jordan,Trade Balance,2/1/2022,3873
Kuwait,Trade Balance,2/1/2022,10531
Lebanon,Trade Balance,2/1/2022,866
Oman,Trade Balance,2/1/2022,33275
Qatar,Trade Balance,2/1/2022,-507224
Saudi Arabia,Trade Balance,2/1/2022,-971609
Syrian Arab Republic,Trade Balance,2/1/2022,839
United Arab Emirates,Trade Balance,2/1/2022,-980985
Yemen,Trade Balance,2/1/2022,872
Yemen Democratic,Trade Balance,2/1/2022,0
Canada,Trade Balance,2/1/2022,-63399
Puerto Rico,Trade Balance,2/1/2022,28141
United States,Trade Balance,2/1/2022,-408095
Argentina,Trade Balance,2/1/2022,9319
Brazil,Trade Balance,2/1/2022,-234463
Chile,Trade Balance,2/1/2022,-29455
Colombia,Trade Balance,2/1/2022,6267
Ecuador,Trade Balance,2/1/2022,925
Mexico,Trade Balance,2/1/2022,17186
Paraguay,Trade Balance,2/1/2022,-22
Peru,Trade Balance,2/1/2022,10977
Uruguay,Trade Balance,2/1/2022,-1579
Venezuela,Trade Balance,2/1/2022,92
Australia,Trade Balance,2/1/2022,747974
Fiji,Trade Balance,2/1/2022,21617
New Caledonia,Trade Balance,2/1/2022,25316
New Zealand,Trade Balance,2/1/2022,220120
Papua New Guinea,Trade Balance,2/1/2022,83137
French Polynesia,Trade Balance,2/1/2022,15921
Guam,Trade Balance,2/1/2022,64085
Solomon Islands,Trade Balance,2/1/2022,4772
Other Countries In Oceania,Trade Balance,2/1/2022,577174
Norway,Trade Balance,2/1/2022,-46708
Liechtenstein,Trade Balance,2/1/2022,-2804
Netherlands Antilles,Trade Balance,2/1/2022,-5
Panama,Trade Balance,2/1/2022,-29
Bahamas,Trade Balance,2/1/2022,-6
Bermuda,Trade Balance,2/1/2022,0
French Guiana,Trade Balance,2/1/2022,-930
Grenada,Trade Balance,2/1/2022,-18
Guatemala,Trade Balance,2/1/2022,-1895
Honduras,Trade Balance,2/1/2022,-253
Jamaica,Trade Balance,2/1/2022,-104
St Vincent & The Grenadines,Trade Balance,2/1/2022,0
Trinidad & Tobago,Trade Balance,2/1/2022,-30
Anguilla,Trade Balance,2/1/2022,-1
Other Countries In America,Trade Balance,2/1/2022,-25285
Nauru,Trade Balance,2/1/2022,-20
Cocos,Trade Balance,2/1/2022,0
French Southern Territories,Trade Balance,2/1/2022,-32
Norfolk Island,Trade Balance,2/1/2022,-11
Cook Islands,Trade Balance,2/1/2022,0
Kiribati,Trade Balance,2/1/2022,0
Niue,Trade Balance,2/1/2022,-2
Tuvalu,Trade Balance,2/1/2022,0
Wallis & Fatuna Islands,Trade Balance,2/1/2022,0
Micronesia,Trade Balance,2/1/2022,-19
Palau,Trade Balance,2/1/2022,0
South Sudan,Trade Balance,2/1/2022,0
Commonwealth Of Independent States,Trade Balance,2/1/2022,-602562
Belgium,Imports,1/1/2022,170868
Denmark,Imports,1/1/2022,142017
France,Imports,1/1/2022,1426667
"Germany, Federal Republic Of",Imports,1/1/2022,1038822
Greece,Imports,1/1/2022,17780
Ireland,Imports,1/1/2022,82200
Italy,Imports,1/1/2022,567318
Luxembourg,Imports,1/1/2022,32098
Netherlands,Imports,1/1/2022,261220
United Kingdom,Imports,1/1/2022,948415
Portugal,Imports,1/1/2022,79995
Spain,Imports,1/1/2022,161163
Austria,Imports,1/1/2022,83123
Finland,Imports,1/1/2022,59916
Sweden,Imports,1/1/2022,149089
Switzerland,Imports,1/1/2022,1374633
Malta,Imports,1/1/2022,18169
"Germany, Democratic Republic Of",Imports,1/1/2022,0
Hungary,Imports,1/1/2022,37471
Poland,Imports,1/1/2022,60535
Estonia,Imports,1/1/2022,6857
Latvia,Imports,1/1/2022,3324
Lithuania,Imports,1/1/2022,52056
Slovenia,Imports,1/1/2022,5564
Czech Republic,Imports,1/1/2022,63267
Slovak Republic,Imports,1/1/2022,9865
Brunei Darussalam,Imports,1/1/2022,118376
Indonesia,Imports,1/1/2022,1854041
Malaysia,Imports,1/1/2022,6180062
Philippines,Imports,1/1/2022,1024236
Thailand,Imports,1/1/2022,1239894
Myanmar,Imports,1/1/2022,6836
Cambodia,Imports,1/1/2022,21450
Laos People's Democratic Republic,Imports,1/1/2022,16693
"Vietnam, Socialist Republic Of",Imports,1/1/2022,561237
Japan,Imports,1/1/2022,2448743
Hong Kong,Imports,1/1/2022,514054
Republic Of Korea,Imports,1/1/2022,3341610
Taiwan,Imports,1/1/2022,6978727
Macau,Imports,1/1/2022,1829
Mainland China,Imports,1/1/2022,6387242
Afghanistan,Imports,1/1/2022,20
Bangladesh,Imports,1/1/2022,21085
India,Imports,1/1/2022,851347
"Maldives, Republic Of",Imports,1/1/2022,145
Nepal,Imports,1/1/2022,868
Pakistan,Imports,1/1/2022,6204
Sri Lanka,Imports,1/1/2022,10925
Bahrain,Imports,1/1/2022,4480
Cyprus,Imports,1/1/2022,3387
Iran,Imports,1/1/2022,754
Israel,Imports,1/1/2022,99841
Jordan,Imports,1/1/2022,6037
Kuwait,Imports,1/1/2022,18171
Lebanon,Imports,1/1/2022,121
Oman,Imports,1/1/2022,44336
Qatar,Imports,1/1/2022,429490
Saudi Arabia,Imports,1/1/2022,920723
Syrian Arab Republic,Imports,1/1/2022,0
United Arab Emirates,Imports,1/1/2022,1619973
Yemen,Imports,1/1/2022,2
Yemen Democratic,Imports,1/1/2022,0
Canada,Imports,1/1/2022,227718
Puerto Rico,Imports,1/1/2022,7191
United States,Imports,1/1/2022,4451719
Argentina,Imports,1/1/2022,9694
Brazil,Imports,1/1/2022,794992
Chile,Imports,1/1/2022,8949
Colombia,Imports,1/1/2022,87646
Ecuador,Imports,1/1/2022,17491
Mexico,Imports,1/1/2022,201662
Paraguay,Imports,1/1/2022,172
Peru,Imports,1/1/2022,1656
Uruguay,Imports,1/1/2022,15600
Venezuela,Imports,1/1/2022,38
Australia,Imports,1/1/2022,682538
Fiji,Imports,1/1/2022,470
New Caledonia,Imports,1/1/2022,22
New Zealand,Imports,1/1/2022,115683
Papua New Guinea,Imports,1/1/2022,10972
French Polynesia,Imports,1/1/2022,58
Guam,Imports,1/1/2022,69
Solomon Islands,Imports,1/1/2022,0
Other Countries In Oceania,Imports,1/1/2022,555
Norway,Imports,1/1/2022,54280
Liechtenstein,Imports,1/1/2022,2951
Netherlands Antilles,Imports,1/1/2022,0
Panama,Imports,1/1/2022,102
Bahamas,Imports,1/1/2022,47
Bermuda,Imports,1/1/2022,0
French Guiana,Imports,1/1/2022,14
Grenada,Imports,1/1/2022,2
Guatemala,Imports,1/1/2022,1603
Honduras,Imports,1/1/2022,274
Jamaica,Imports,1/1/2022,44
St Vincent & The Grenadines,Imports,1/1/2022,0
Trinidad & Tobago,Imports,1/1/2022,68
Anguilla,Imports,1/1/2022,2
Other Countries In America,Imports,1/1/2022,24530
Nauru,Imports,1/1/2022,10
Cocos,Imports,1/1/2022,3
French Southern Territories,Imports,1/1/2022,258
Norfolk Island,Imports,1/1/2022,23
Cook Islands,Imports,1/1/2022,0
Kiribati,Imports,1/1/2022,0
Niue,Imports,1/1/2022,0
Tuvalu,Imports,1/1/2022,0
Wallis & Fatuna Islands,Imports,1/1/2022,178
Micronesia,Imports,1/1/2022,3
Palau,Imports,1/1/2022,0
South Sudan,Imports,1/1/2022,0
Commonwealth Of Independent States,Imports,1/1/2022,851550
Belgium,Exports,1/1/2022,702940
Denmark,Exports,1/1/2022,32037
France,Exports,1/1/2022,446179
"Germany, Federal Republic Of",Exports,1/1/2022,784687
Greece,Exports,1/1/2022,98550
Ireland,Exports,1/1/2022,32085
Italy,Exports,1/1/2022,114199
Luxembourg,Exports,1/1/2022,10674
Netherlands,Exports,1/1/2022,1133245
United Kingdom,Exports,1/1/2022,330083
Portugal,Exports,1/1/2022,56042
Spain,Exports,1/1/2022,67787
Austria,Exports,1/1/2022,39656
Finland,Exports,1/1/2022,61822
Sweden,Exports,1/1/2022,13597
Switzerland,Exports,1/1/2022,297857
Malta,Exports,1/1/2022,160475
"Germany, Democratic Republic Of",Exports,1/1/2022,0
Hungary,Exports,1/1/2022,54758
Poland,Exports,1/1/2022,60979
Estonia,Exports,1/1/2022,5099
Latvia,Exports,1/1/2022,7263
Lithuania,Exports,1/1/2022,1415
Slovenia,Exports,1/1/2022,36764
Czech Republic,Exports,1/1/2022,50034
Slovak Republic,Exports,1/1/2022,7025
Brunei Darussalam,Exports,1/1/2022,77716
Indonesia,Exports,1/1/2022,3691849
Malaysia,Exports,1/1/2022,4826818
Philippines,Exports,1/1/2022,1082779
Thailand,Exports,1/1/2022,2225138
Myanmar,Exports,1/1/2022,325864
Cambodia,Exports,1/1/2022,1295867
Laos People's Democratic Republic,Exports,1/1/2022,12861
"Vietnam, Socialist Republic Of",Exports,1/1/2022,1798392
Japan,Exports,1/1/2022,2225689
Hong Kong,Exports,1/1/2022,6509744
Republic Of Korea,Exports,1/1/2022,2139479
Taiwan,Exports,1/1/2022,2849971
Macau,Exports,1/1/2022,20555
Mainland China,Exports,1/1/2022,7163479
Afghanistan,Exports,1/1/2022,527
Bangladesh,Exports,1/1/2022,406728
India,Exports,1/1/2022,1633973
"Maldives, Republic Of",Exports,1/1/2022,28876
Nepal,Exports,1/1/2022,27163
Pakistan,Exports,1/1/2022,109592
Sri Lanka,Exports,1/1/2022,156549
Bahrain,Exports,1/1/2022,29439
Cyprus,Exports,1/1/2022,34039
Iran,Exports,1/1/2022,1140
Israel,Exports,1/1/2022,97565
Jordan,Exports,1/1/2022,9224
Kuwait,Exports,1/1/2022,37106
Lebanon,Exports,1/1/2022,2256
Oman,Exports,1/1/2022,117675
Qatar,Exports,1/1/2022,56135
Saudi Arabia,Exports,1/1/2022,92452
Syrian Arab Republic,Exports,1/1/2022,54
United Arab Emirates,Exports,1/1/2022,810537
Yemen,Exports,1/1/2022,889
Yemen Democratic,Exports,1/1/2022,0
Canada,Exports,1/1/2022,120336
Puerto Rico,Exports,1/1/2022,61126
United States,Exports,1/1/2022,5127133
Argentina,Exports,1/1/2022,21644
Brazil,Exports,1/1/2022,241165
Chile,Exports,1/1/2022,44153
Colombia,Exports,1/1/2022,12948
Ecuador,Exports,1/1/2022,6781
Mexico,Exports,1/1/2022,212582
Paraguay,Exports,1/1/2022,1677
Peru,Exports,1/1/2022,8443
Uruguay,Exports,1/1/2022,1943
Venezuela,Exports,1/1/2022,285
Australia,Exports,1/1/2022,1650218
Fiji,Exports,1/1/2022,43159
New Caledonia,Exports,1/1/2022,47347
New Zealand,Exports,1/1/2022,285224
Papua New Guinea,Exports,1/1/2022,80775
French Polynesia,Exports,1/1/2022,17243
Guam,Exports,1/1/2022,23026
Solomon Islands,Exports,1/1/2022,6286
Other Countries In Oceania,Exports,1/1/2022,531186
Belgium,Trade Balance,1/1/2022,532072
Denmark,Trade Balance,1/1/2022,-109980
France,Trade Balance,1/1/2022,-980488
"Germany, Federal Republic Of",Trade Balance,1/1/2022,-254135
Greece,Trade Balance,1/1/2022,80770
Ireland,Trade Balance,1/1/2022,-50115
Italy,Trade Balance,1/1/2022,-453119
Luxembourg,Trade Balance,1/1/2022,-21424
Netherlands,Trade Balance,1/1/2022,872025
United Kingdom,Trade Balance,1/1/2022,-618332
Portugal,Trade Balance,1/1/2022,-23953
Spain,Trade Balance,1/1/2022,-93376
Austria,Trade Balance,1/1/2022,-43467
Finland,Trade Balance,1/1/2022,1906
Sweden,Trade Balance,1/1/2022,-135492
Switzerland,Trade Balance,1/1/2022,-1076776
Malta,Trade Balance,1/1/2022,142306
"Germany, Democratic Republic Of",Trade Balance,1/1/2022,0
Hungary,Trade Balance,1/1/2022,17287
Poland,Trade Balance,1/1/2022,444
Estonia,Trade Balance,1/1/2022,-1758
Latvia,Trade Balance,1/1/2022,3939
Lithuania,Trade Balance,1/1/2022,-50641
Slovenia,Trade Balance,1/1/2022,31200
Czech Republic,Trade Balance,1/1/2022,-13233
Slovak Republic,Trade Balance,1/1/2022,-2840
Brunei Darussalam,Trade Balance,1/1/2022,-40660
Indonesia,Trade Balance,1/1/2022,1837808
Malaysia,Trade Balance,1/1/2022,-1353244
Philippines,Trade Balance,1/1/2022,58543
Thailand,Trade Balance,1/1/2022,985244
Myanmar,Trade Balance,1/1/2022,319028
Cambodia,Trade Balance,1/1/2022,1274417
Laos People's Democratic Republic,Trade Balance,1/1/2022,-3832
"Vietnam, Socialist Republic Of",Trade Balance,1/1/2022,1237155
Japan,Trade Balance,1/1/2022,-223054
Hong Kong,Trade Balance,1/1/2022,5995690
Republic Of Korea,Trade Balance,1/1/2022,-1202131
Taiwan,Trade Balance,1/1/2022,-4128756
Macau,Trade Balance,1/1/2022,18726
Mainland China,Trade Balance,1/1/2022,776237
Afghanistan,Trade Balance,1/1/2022,507
Bangladesh,Trade Balance,1/1/2022,385643
India,Trade Balance,1/1/2022,782626
"Maldives, Republic Of",Trade Balance,1/1/2022,28731
Nepal,Trade Balance,1/1/2022,26295
Pakistan,Trade Balance,1/1/2022,103388
Sri Lanka,Trade Balance,1/1/2022,145624
Bahrain,Trade Balance,1/1/2022,24959
Cyprus,Trade Balance,1/1/2022,30652
Iran,Trade Balance,1/1/2022,386
Israel,Trade Balance,1/1/2022,-2276
Jordan,Trade Balance,1/1/2022,3187
Kuwait,Trade Balance,1/1/2022,18935
Lebanon,Trade Balance,1/1/2022,2135
Oman,Trade Balance,1/1/2022,73339
Qatar,Trade Balance,1/1/2022,-373355
Saudi Arabia,Trade Balance,1/1/2022,-828271
Syrian Arab Republic,Trade Balance,1/1/2022,54
United Arab Emirates,Trade Balance,1/1/2022,-809436
Yemen,Trade Balance,1/1/2022,887
Yemen Democratic,Trade Balance,1/1/2022,0
Canada,Trade Balance,1/1/2022,-107382
Puerto Rico,Trade Balance,1/1/2022,53935
United States,Trade Balance,1/1/2022,675414
Argentina,Trade Balance,1/1/2022,11950
Brazil,Trade Balance,1/1/2022,-553827
Chile,Trade Balance,1/1/2022,35204
Colombia,Trade Balance,1/1/2022,-74698
Ecuador,Trade Balance,1/1/2022,-10710
Mexico,Trade Balance,1/1/2022,10920
Paraguay,Trade Balance,1/1/2022,1505
Peru,Trade Balance,1/1/2022,6787
Uruguay,Trade Balance,1/1/2022,-13657
Venezuela,Trade Balance,1/1/2022,247
Australia,Trade Balance,1/1/2022,967680
Fiji,Trade Balance,1/1/2022,42689
New Caledonia,Trade Balance,1/1/2022,47325
