Country,TradeType,MonYear,Values
Brunei Darussalam,Exports,12/1/2022,75900
Indonesia,Exports,12/1/2022,3740306
Malaysia,Exports,12/1/2022,5154779
Philippines,Exports,12/1/2022,1116549
Thailand,Exports,12/1/2022,1790423
Myanmar,Exports,12/1/2022,449544
Cambodia,Exports,12/1/2022,195030
Laos People's Democratic Republic,Exports,12/1/2022,4643
"Vietnam, Socialist Republic Of",Exports,12/1/2022,1958783
Japan,Exports,12/1/2022,2271626
Hong Kong,Exports,12/1/2022,7403998
Republic Of Korea,Exports,12/1/2022,2865718
Taiwan,Exports,12/1/2022,2768573
Macau,Exports,12/1/2022,29319
Mainland China,Exports,12/1/2022,6374198
Afghanistan,Exports,12/1/2022,214
Bangladesh,Exports,12/1/2022,294037
India,Exports,12/1/2022,1703023
"Maldives, Republic Of",Exports,12/1/2022,27931
Nepal,Exports,12/1/2022,18692
Pakistan,Exports,12/1/2022,183923
Sri Lanka,Exports,12/1/2022,134049
Bahrain,Exports,12/1/2022,24163
Cyprus,Exports,12/1/2022,48818
Iran,Exports,12/1/2022,510
Israel,Exports,12/1/2022,105746
Jordan,Exports,12/1/2022,15012
Kuwait,Exports,12/1/2022,46086
Lebanon,Exports,12/1/2022,1729
Oman,Exports,12/1/2022,18234
Qatar,Exports,12/1/2022,64520
Saudi Arabia,Exports,12/1/2022,102899
Syrian Arab Republic,Exports,12/1/2022,260
United Arab Emirates,Exports,12/1/2022,625765
Yemen,Exports,12/1/2022,566
Yemen Democratic,Exports,12/1/2022,0
Canada,Exports,12/1/2022,113586
Puerto Rico,Exports,12/1/2022,4234
United States,Exports,12/1/2022,4671228
Argentina,Exports,12/1/2022,22119
Brazil,Exports,12/1/2022,227374
Chile,Exports,12/1/2022,8570
Colombia,Exports,12/1/2022,12036
Ecuador,Exports,12/1/2022,7249
Mexico,Exports,12/1/2022,224874
Paraguay,Exports,12/1/2022,563
Peru,Exports,12/1/2022,11791
Uruguay,Exports,12/1/2022,3822
Venezuela,Exports,12/1/2022,39
Australia,Exports,12/1/2022,1711317
Fiji,Exports,12/1/2022,71371
New Caledonia,Exports,12/1/2022,32546
New Zealand,Exports,12/1/2022,397788
Papua New Guinea,Exports,12/1/2022,84412
French Polynesia,Exports,12/1/2022,2428
Guam,Exports,12/1/2022,41150
Solomon Islands,Exports,12/1/2022,6018
Other Countries In Oceania,Exports,12/1/2022,691400
Belgium,Trade Balance,12/1/2022,328721
Denmark,Trade Balance,12/1/2022,-36581
France,Trade Balance,12/1/2022,-1135129
"Germany, Federal Republic Of",Trade Balance,12/1/2022,-320199
Greece,Trade Balance,12/1/2022,32135
Ireland,Trade Balance,12/1/2022,70565
Italy,Trade Balance,12/1/2022,-573831
Luxembourg,Trade Balance,12/1/2022,17754
Netherlands,Trade Balance,12/1/2022,859331
United Kingdom,Trade Balance,12/1/2022,-579191
Portugal,Trade Balance,12/1/2022,92323
Spain,Trade Balance,12/1/2022,-216478
Austria,Trade Balance,12/1/2022,-55298
Finland,Trade Balance,12/1/2022,29333
Sweden,Trade Balance,12/1/2022,-148154
Switzerland,Trade Balance,12/1/2022,-680986
Malta,Trade Balance,12/1/2022,202187
"Germany, Democratic Republic Of",Trade Balance,12/1/2022,0
Hungary,Trade Balance,12/1/2022,3369
Poland,Trade Balance,12/1/2022,-8248
Estonia,Trade Balance,12/1/2022,-4695
Latvia,Trade Balance,12/1/2022,3146
Lithuania,Trade Balance,12/1/2022,-12346
