Sex,Planning Area,Age Group,Population,Pop_Proportion
Female,Bukit Panjang,45 - 49,5320,7.60%
Female,Bukit Panjang,50 - 54,5900,8.43%
Female,Bukit Panjang,55 - 59,5150,7.36%
Female,Bukit Panjang,60 - 64,3870,5.53%
Female,Bukit Panjang,65 - 69,2570,3.67%
Female,Bukit Panjang,70 - 74,1450,2.07%
Female,Bukit Panjang,75 - 79,1110,1.59%
Female,Bukit Panjang,80 - 84,780,1.11%
Female,Bukit Panjang,85 & Over,700,1.00%
Female,Bukit Timah,0 - 4,1600,4.01%
Female,Bukit Timah,5 - 9,2640,6.62%
Female,Bukit Timah,10 - 14,2560,6.42%
Female,Bukit Timah,15 - 19,2560,6.42%
Female,Bukit Timah,20 - 24,2660,6.67%
Female,Bukit Timah,25 - 29,2340,5.87%
Female,Bukit Timah,30 - 34,2090,5.24%
Female,Bukit Timah,35 - 39,2770,6.95%
Female,Bukit Timah,40 - 44,3580,8.98%
Female,Bukit Timah,45 - 49,3300,8.27%
Female,Bukit Timah,50 - 54,3050,7.65%
Female,Bukit Timah,55 - 59,2780,6.97%
Female,Bukit Timah,60 - 64,2340,5.87%
Female,Bukit Timah,65 - 69,2020,5.07%
Female,Bukit Timah,70 - 74,1240,3.11%
Female,Bukit Timah,75 - 79,1040,2.61%
Female,Bukit Timah,80 - 84,680,1.71%
Female,Bukit Timah,85 & Over,630,1.58%
Female,Central Water Catchment,0 - 4,0,
Female,Central Water Catchment,5 - 9,0,
Female,Central Water Catchment,10 - 14,0,
Female,Central Water Catchment,15 - 19,0,
Female,Central Water Catchment,20 - 24,0,
Female,Central Water Catchment,25 - 29,0,
Female,Central Water Catchment,30 - 34,0,
Female,Central Water Catchment,35 - 39,0,
Female,Central Water Catchment,40 - 44,0,
Female,Central Water Catchment,45 - 49,0,
Female,Central Water Catchment,50 - 54,0,
Female,Central Water Catchment,55 - 59,0,
Female,Central Water Catchment,60 - 64,0,
Female,Central Water Catchment,65 - 69,0,
Female,Central Water Catchment,70 - 74,0,
Female,Central Water Catchment,75 - 79,0,
Female,Central Water Catchment,80 - 84,0,
Female,Central Water Catchment,85 & Over,0,
Female,Changi,0 - 4,90,7.26%
Female,Changi,5 - 9,120,9.68%
Female,Changi,10 - 14,100,8.06%
Female,Changi,15 - 19,70,5.65%
Female,Changi,20 - 24,70,5.65%
Female,Changi,25 - 29,60,4.84%
Female,Changi,30 - 34,100,8.06%
Female,Changi,35 - 39,130,10.48%
Female,Changi,40 - 44,140,11.29%
Female,Changi,45 - 49,100,8.06%
Female,Changi,50 - 54,60,4.84%
Female,Changi,55 - 59,50,4.03%
Female,Changi,60 - 64,40,3.23%
Female,Changi,65 - 69,30,2.42%
Female,Changi,70 - 74,20,1.61%
Female,Changi,75 - 79,20,1.61%
Female,Changi,80 - 84,20,1.61%
Female,Changi,85 & Over,20,1.61%
Female,Changi Bay,0 - 4,0,
Female,Changi Bay,5 - 9,0,
Female,Changi Bay,10 - 14,0,
Female,Changi Bay,15 - 19,0,
Female,Changi Bay,20 - 24,0,
Female,Changi Bay,25 - 29,0,
Female,Changi Bay,30 - 34,0,
Female,Changi Bay,35 - 39,0,
Female,Changi Bay,40 - 44,0,
Female,Changi Bay,45 - 49,0,
Female,Changi Bay,50 - 54,0,
Female,Changi Bay,55 - 59,0,
Female,Changi Bay,60 - 64,0,
Female,Changi Bay,65 - 69,0,
Female,Changi Bay,70 - 74,0,
Female,Changi Bay,75 - 79,0,
Female,Changi Bay,80 - 84,0,
Female,Changi Bay,85 & Over,0,
Female,Choa Chu Kang,0 - 4,3540,4.05%
Female,Choa Chu Kang,5 - 9,4510,5.16%
Female,Choa Chu Kang,10 - 14,5680,6.50%
Female,Choa Chu Kang,15 - 19,7140,8.17%
Female,Choa Chu Kang,20 - 24,7430,8.50%
Female,Choa Chu Kang,25 - 29,5870,6.72%
Female,Choa Chu Kang,30 - 34,6010,6.88%
Female,Choa Chu Kang,35 - 39,6300,7.21%
Female,Choa Chu Kang,40 - 44,7290,8.34%
Female,Choa Chu Kang,45 - 49,8310,9.51%
Female,Choa Chu Kang,50 - 54,7830,8.96%
Female,Choa Chu Kang,55 - 59,6070,6.95%
Female,Choa Chu Kang,60 - 64,4180,4.78%
Female,Choa Chu Kang,65 - 69,2820,3.23%
Female,Choa Chu Kang,70 - 74,1590,1.82%
Female,Choa Chu Kang,75 - 79,1240,1.42%
Female,Choa Chu Kang,80 - 84,890,1.02%
Female,Choa Chu Kang,85 & Over,700,0.80%
Female,Clementi,0 - 4,1940,4.06%
Female,Clementi,5 - 9,2160,4.52%
Female,Clementi,10 - 14,2210,4.62%
Female,Clementi,15 - 19,2320,4.85%
Female,Clementi,20 - 24,2440,5.10%
Female,Clementi,25 - 29,3040,6.36%
Female,Clementi,30 - 34,3460,7.24%
Female,Clementi,35 - 39,3880,8.12%
Female,Clementi,40 - 44,3940,8.24%
Female,Clementi,45 - 49,3560,7.45%
Female,Clementi,50 - 54,3480,7.28%
Female,Clementi,55 - 59,3520,7.36%
Female,Clementi,60 - 64,3750,7.85%
Female,Clementi,65 - 69,3300,6.90%
Female,Clementi,70 - 74,1750,3.66%
Female,Clementi,75 - 79,1380,2.89%
Female,Clementi,80 - 84,880,1.84%
Female,Clementi,85 & Over,790,1.65%
Female,Downtown Core,0 - 4,60,3.41%
Female,Downtown Core,5 - 9,30,1.70%
Female,Downtown Core,10 - 14,50,2.84%
Female,Downtown Core,15 - 19,60,3.41%
Female,Downtown Core,20 - 24,70,3.98%
Female,Downtown Core,25 - 29,110,6.25%
Female,Downtown Core,30 - 34,160,9.09%
Female,Downtown Core,35 - 39,190,10.80%
Female,Downtown Core,40 - 44,160,9.09%
Female,Downtown Core,45 - 49,150,8.52%
Female,Downtown Core,50 - 54,120,6.82%
Female,Downtown Core,55 - 59,120,6.82%
Female,Downtown Core,60 - 64,140,7.95%
Female,Downtown Core,65 - 69,120,6.82%
Female,Downtown Core,70 - 74,70,3.98%
Female,Downtown Core,75 - 79,70,3.98%
Female,Downtown Core,80 - 84,40,2.27%
Female,Downtown Core,85 & Over,40,2.27%
Female,Geylang,0 - 4,2180,3.70%
Female,Geylang,5 - 9,2540,4.31%
Female,Geylang,10 - 14,2700,4.58%
Female,Geylang,15 - 19,3100,5.26%
Female,Geylang,20 - 24,3710,6.30%
Female,Geylang,25 - 29,4040,6.86%
Female,Geylang,30 - 34,4240,7.20%
Female,Geylang,35 - 39,4540,7.71%
Female,Geylang,40 - 44,4540,7.71%
Female,Geylang,45 - 49,4350,7.39%
Female,Geylang,50 - 54,4620,7.84%
Female,Geylang,55 - 59,4630,7.86%
Female,Geylang,60 - 64,3970,6.74%
Female,Geylang,65 - 69,3330,5.65%
Female,Geylang,70 - 74,2050,3.48%
Female,Geylang,75 - 79,1850,3.14%
Female,Geylang,80 - 84,1330,2.26%
Female,Geylang,85 & Over,1180,2.00%
Female,Hougang,0 - 4,4110,3.64%
Female,Hougang,5 - 9,5030,4.46%
Female,Hougang,10 - 14,5700,5.05%
Female,Hougang,15 - 19,6980,6.19%
Female,Hougang,20 - 24,8240,7.30%
Female,Hougang,25 - 29,8300,7.36%
Female,Hougang,30 - 34,7770,6.89%
Female,Hougang,35 - 39,7870,6.98%
Female,Hougang,40 - 44,8590,7.61%
Female,Hougang,45 - 49,8830,7.83%
Female,Hougang,50 - 54,9820,8.70%
Female,Hougang,55 - 59,9570,8.48%
Female,Hougang,60 - 64,7390,6.55%
Female,Hougang,65 - 69,5420,4.80%
Female,Hougang,70 - 74,3150,2.79%
Female,Hougang,75 - 79,2570,2.28%
Female,Hougang,80 - 84,1850,1.64%
Female,Hougang,85 & Over,1630,1.44%
Female,Jurong East,0 - 4,1610,3.76%
Female,Jurong East,5 - 9,1920,4.49%
Female,Jurong East,10 - 14,2200,5.14%
Female,Jurong East,15 - 19,2420,5.66%
Female,Jurong East,20 - 24,2770,6.47%
Female,Jurong East,25 - 29,3280,7.67%
Female,Jurong East,30 - 34,3260,7.62%
Female,Jurong East,35 - 39,3180,7.43%
Female,Jurong East,40 - 44,3330,7.78%
Female,Jurong East,45 - 49,3070,7.17%
Female,Jurong East,50 - 54,3370,7.88%
Female,Jurong East,55 - 59,3570,8.34%
Female,Jurong East,60 - 64,3190,7.46%
Female,Jurong East,65 - 69,2370,5.54%
Female,Jurong East,70 - 74,1180,2.76%
Female,Jurong East,75 - 79,950,2.22%
Female,Jurong East,80 - 84,610,1.43%
Female,Jurong East,85 & Over,510,1.19%
Female,Jurong West,0 - 4,6730,4.98%
Female,Jurong West,5 - 9,7790,5.76%
Female,Jurong West,10 - 14,8080,5.98%
Female,Jurong West,15 - 19,8830,6.53%
Female,Jurong West,20 - 24,9330,6.90%
Female,Jurong West,25 - 29,10100,7.47%
Female,Jurong West,30 - 34,11880,8.79%
Female,Jurong West,35 - 39,11750,8.69%
Female,Jurong West,40 - 44,11280,8.34%
Female,Jurong West,45 - 49,10500,7.77%
Female,Jurong West,50 - 54,9730,7.20%
Female,Jurong West,55 - 59,9360,6.92%
Female,Jurong West,60 - 64,7820,5.78%
Female,Jurong West,65 - 69,5210,3.85%
Female,Jurong West,70 - 74,2710,2.00%
Female,Jurong West,75 - 79,1880,1.39%
Female,Jurong West,80 - 84,1260,0.93%
Female,Jurong West,85 & Over,940,0.70%
Female,Kallang,0 - 4,2120,4.17%
Female,Kallang,5 - 9,2210,4.35%
Female,Kallang,10 - 14,2170,4.27%
Female,Kallang,15 - 19,2330,4.58%
Female,Kallang,20 - 24,2580,5.07%
Female,Kallang,25 - 29,3160,6.21%
Female,Kallang,30 - 34,3880,7.63%
Female,Kallang,35 - 39,4300,8.45%
Female,Kallang,40 - 44,4320,8.49%
Female,Kallang,45 - 49,3740,7.35%
Female,Kallang,50 - 54,3690,7.26%
Female,Kallang,55 - 59,3680,7.24%
Female,Kallang,60 - 64,3440,6.76%
Female,Kallang,65 - 69,3060,6.02%
Female,Kallang,70 - 74,2030,3.99%
Female,Kallang,75 - 79,1820,3.58%
Female,Kallang,80 - 84,1210,2.38%
Female,Kallang,85 & Over,1120,2.20%
Female,Lim Chu Kang,0 - 4,0,
Female,Lim Chu Kang,5 - 9,0,
Female,Lim Chu Kang,10 - 14,0,
Female,Lim Chu Kang,15 - 19,0,
Female,Lim Chu Kang,20 - 24,0,
Female,Lim Chu Kang,25 - 29,0,
Female,Lim Chu Kang,30 - 34,0,
Female,Lim Chu Kang,35 - 39,0,
Female,Lim Chu Kang,40 - 44,0,
Female,Lim Chu Kang,45 - 49,0,
Female,Lim Chu Kang,50 - 54,0,
Female,Lim Chu Kang,55 - 59,0,
Female,Lim Chu Kang,60 - 64,0,
Female,Lim Chu Kang,65 - 69,0,
Female,Lim Chu Kang,70 - 74,0,
Female,Lim Chu Kang,75 - 79,0,
Female,Lim Chu Kang,80 - 84,0,
Female,Lim Chu Kang,85 & Over,0,
Female,Mandai,0 - 4,40,3.60%
Female,Mandai,5 - 9,70,6.31%
Female,Mandai,10 - 14,80,7.21%
Female,Mandai,15 - 19,90,8.11%
Female,Mandai,20 - 24,90,8.11%
Female,Mandai,25 - 29,70,6.31%
Female,Mandai,30 - 34,70,6.31%
Female,Mandai,35 - 39,100,9.01%
Female,Mandai,40 - 44,100,9.01%
Female,Mandai,45 - 49,100,9.01%
Female,Mandai,50 - 54,80,7.21%
Female,Mandai,55 - 59,70,6.31%
Female,Mandai,60 - 64,40,3.60%
Female,Mandai,65 - 69,40,3.60%
Female,Mandai,70 - 74,30,2.70%
Female,Mandai,75 - 79,20,1.80%
Female,Mandai,80 - 84,10,0.90%
Female,Mandai,85 & Over,10,0.90%
Female,Marina East,0 - 4,0,
Female,Marina East,5 - 9,0,
Female,Marina East,10 - 14,0,
Female,Marina East,15 - 19,0,
Female,Marina East,20 - 24,0,
Female,Marina East,25 - 29,0,
Female,Marina East,30 - 34,0,
Female,Marina East,35 - 39,0,
Female,Marina East,40 - 44,0,
Female,Marina East,45 - 49,0,
Female,Marina East,50 - 54,0,
Female,Marina East,55 - 59,0,
Female,Marina East,60 - 64,0,
Female,Marina East,65 - 69,0,
Female,Marina East,70 - 74,0,
Female,Marina East,75 - 79,0,
Female,Marina East,80 - 84,0,
Female,Marina East,85 & Over,0,
Female,Marina South,0 - 4,0,
Female,Marina South,5 - 9,0,
Female,Marina South,10 - 14,0,
Female,Marina South,15 - 19,0,
Female,Marina South,20 - 24,0,
Female,Marina South,25 - 29,0,
Female,Marina South,30 - 34,0,
Female,Marina South,35 - 39,0,
Female,Marina South,40 - 44,0,
Female,Marina South,45 - 49,0,
Female,Marina South,50 - 54,0,
Female,Marina South,55 - 59,0,
Female,Marina South,60 - 64,0,
Female,Marina South,65 - 69,0,
Female,Marina South,70 - 74,0,
Female,Marina South,75 - 79,0,
Female,Marina South,80 - 84,0,
Female,Marina South,85 & Over,0,
Female,Marine Parade,0 - 4,1060,4.11%
Female,Marine Parade,5 - 9,1380,5.35%
Female,Marine Parade,10 - 14,1350,5.24%
Female,Marine Parade,15 - 19,1340,5.20%
Female,Marine Parade,20 - 24,1400,5.43%
Female,Marine Parade,25 - 29,1370,5.31%
Female,Marine Parade,30 - 34,1600,6.21%
Female,Marine Parade,35 - 39,2130,8.26%
Female,Marine Parade,40 - 44,2430,9.43%
Female,Marine Parade,45 - 49,1920,7.45%
Female,Marine Parade,50 - 54,1900,7.37%
Female,Marine Parade,55 - 59,1700,6.59%
Female,Marine Parade,60 - 64,1560,6.05%
Female,Marine Parade,65 - 69,1520,5.90%
Female,Marine Parade,70 - 74,990,3.84%
Female,Marine Parade,75 - 79,920,3.57%
Female,Marine Parade,80 - 84,590,2.29%
Female,Marine Parade,85 & Over,620,2.40%
Female,Museum,0 - 4,10,5.56%
Female,Museum,5 - 9,10,5.56%
Female,Museum,10 - 14,0,0.00%
Female,Museum,15 - 19,10,5.56%
Female,Museum,20 - 24,10,5.56%
Female,Museum,25 - 29,10,5.56%
Female,Museum,30 - 34,20,11.11%
Female,Museum,35 - 39,30,16.67%
Female,Museum,40 - 44,20,11.11%
Female,Museum,45 - 49,20,11.11%
Female,Museum,50 - 54,20,11.11%
Female,Museum,55 - 59,20,11.11%
Female,Museum,60 - 64,0,0.00%
Female,Museum,65 - 69,0,0.00%
Female,Museum,70 - 74,0,0.00%
Female,Museum,75 - 79,0,0.00%
Female,Museum,80 - 84,0,0.00%
Female,Museum,85 & Over,0,0.00%
Female,Newton,0 - 4,160,4.32%
Female,Newton,5 - 9,210,5.68%
Female,Newton,10 - 14,160,4.32%
Female,Newton,15 - 19,190,5.14%
Female,Newton,20 - 24,220,5.95%
Female,Newton,25 - 29,220,5.95%
Female,Newton,30 - 34,240,6.49%
Female,Newton,35 - 39,340,9.19%
Female,Newton,40 - 44,390,10.54%
Female,Newton,45 - 49,320,8.65%
Female,Newton,50 - 54,300,8.11%
Female,Newton,55 - 59,250,6.76%
Female,Newton,60 - 64,200,5.41%
Female,Newton,65 - 69,190,5.14%
Female,Newton,70 - 74,90,2.43%
Female,Newton,75 - 79,100,2.70%
Female,Newton,80 - 84,60,1.62%
