Sex,Planning Area,Age Group,Population,Pop_Proportion
Female,River Valley,20 - 24,290,5.85%
Female,River Valley,25 - 29,280,5.65%
Female,River Valley,30 - 34,380,7.66%
Female,River Valley,35 - 39,490,9.88%
Female,River Valley,40 - 44,560,11.29%
Female,River Valley,45 - 49,430,8.67%
Female,River Valley,50 - 54,330,6.65%
Female,River Valley,55 - 59,310,6.25%
Female,River Valley,60 - 64,250,5.04%
Female,River Valley,65 - 69,240,4.84%
Female,River Valley,70 - 74,140,2.82%
Female,River Valley,75 - 79,100,2.02%
Female,River Valley,80 - 84,40,0.81%
Female,River Valley,85 & Over,80,1.61%
Female,Rochor,0 - 4,270,3.74%
Female,Rochor,5 - 9,300,4.16%
Female,Rochor,10 - 14,300,4.16%
Female,Rochor,15 - 19,290,4.02%
Female,Rochor,20 - 24,380,5.26%
Female,Rochor,25 - 29,450,6.23%
Female,Rochor,30 - 34,540,7.48%
Female,Rochor,35 - 39,620,8.59%
Female,Rochor,40 - 44,580,8.03%
Female,Rochor,45 - 49,530,7.34%
Female,Rochor,50 - 54,490,6.79%
Female,Rochor,55 - 59,520,7.20%
Female,Rochor,60 - 64,540,7.48%
Female,Rochor,65 - 69,500,6.93%
Female,Rochor,70 - 74,320,4.43%
Female,Rochor,75 - 79,270,3.74%
Female,Rochor,80 - 84,170,2.35%
Female,Rochor,85 & Over,150,2.08%
Female,Seletar,0 - 4,0,0.00%
Female,Seletar,5 - 9,10,7.69%
Female,Seletar,10 - 14,10,7.69%
Female,Seletar,15 - 19,10,7.69%
Female,Seletar,20 - 24,10,7.69%
Female,Seletar,25 - 29,0,0.00%
Female,Seletar,30 - 34,0,0.00%
Female,Seletar,35 - 39,10,7.69%
Female,Seletar,40 - 44,20,15.38%
Female,Seletar,45 - 49,20,15.38%
Female,Seletar,50 - 54,20,15.38%
Female,Seletar,55 - 59,10,7.69%
Female,Seletar,60 - 64,10,7.69%
Female,Seletar,65 - 69,0,0.00%
Female,Seletar,70 - 74,0,0.00%
Female,Seletar,75 - 79,0,0.00%
Female,Seletar,80 - 84,0,0.00%
Female,Seletar,85 & Over,0,0.00%
Female,Sembawang,0 - 4,2190,5.67%
Female,Sembawang,5 - 9,2650,6.86%
Female,Sembawang,10 - 14,2600,6.73%
Female,Sembawang,15 - 19,2320,6.01%
Female,Sembawang,20 - 24,2190,5.67%
Female,Sembawang,25 - 29,2610,6.76%
Female,Sembawang,30 - 34,3460,8.96%
Female,Sembawang,35 - 39,3800,9.84%
Female,Sembawang,40 - 44,3920,10.15%
Female,Sembawang,45 - 49,2940,7.61%
Female,Sembawang,50 - 54,2730,7.07%
Female,Sembawang,55 - 59,2420,6.27%
Female,Sembawang,60 - 64,1680,4.35%
Female,Sembawang,65 - 69,1140,2.95%
Female,Sembawang,70 - 74,720,1.86%
Female,Sembawang,75 - 79,540,1.40%
Female,Sembawang,80 - 84,380,0.98%
Female,Sembawang,85 & Over,320,0.83%
Female,Sengkang,0 - 4,7460,7.11%
Female,Sengkang,5 - 9,7480,7.13%
Female,Sengkang,10 - 14,6130,5.85%
Female,Sengkang,15 - 19,5730,5.46%
Female,Sengkang,20 - 24,5420,5.17%
Female,Sengkang,25 - 29,7860,7.49%
Female,Sengkang,30 - 34,11420,10.89%
Female,Sengkang,35 - 39,10830,10.33%
Female,Sengkang,40 - 44,9440,9.00%
Female,Sengkang,45 - 49,7020,6.69%
Female,Sengkang,50 - 54,6740,6.43%
Female,Sengkang,55 - 59,6350,6.06%
Female,Sengkang,60 - 64,4660,4.44%
Female,Sengkang,65 - 69,3350,3.19%
Female,Sengkang,70 - 74,1790,1.71%
Female,Sengkang,75 - 79,1390,1.33%
Female,Sengkang,80 - 84,970,0.92%
Female,Sengkang,85 & Over,830,0.79%
Female,Serangoon,0 - 4,1990,3.19%
Female,Serangoon,5 - 9,2480,3.98%
Female,Serangoon,10 - 14,3010,4.83%
Female,Serangoon,15 - 19,3660,5.87%
Female,Serangoon,20 - 24,4500,7.22%
Female,Serangoon,25 - 29,4500,7.22%
Female,Serangoon,30 - 34,3890,6.24%
Female,Serangoon,35 - 39,3980,6.38%
Female,Serangoon,40 - 44,4550,7.30%
Female,Serangoon,45 - 49,4690,7.52%
Female,Serangoon,50 - 54,5350,8.58%
Female,Serangoon,55 - 59,5610,9.00%
Female,Serangoon,60 - 64,4620,7.41%
Female,Serangoon,65 - 69,3530,5.66%
Female,Serangoon,70 - 74,2000,3.21%
Female,Serangoon,75 - 79,1700,2.73%
Female,Serangoon,80 - 84,1150,1.84%
Female,Serangoon,85 & Over,1150,1.84%
Female,Simpang,0 - 4,0,
Female,Simpang,5 - 9,0,
Female,Simpang,10 - 14,0,
Female,Simpang,15 - 19,0,
Female,Simpang,20 - 24,0,
Female,Simpang,25 - 29,0,
Female,Simpang,30 - 34,0,
Female,Simpang,35 - 39,0,
Female,Simpang,40 - 44,0,
Female,Simpang,45 - 49,0,
Female,Simpang,50 - 54,0,
Female,Simpang,55 - 59,0,
Female,Simpang,60 - 64,0,
Female,Simpang,65 - 69,0,
Female,Simpang,70 - 74,0,
Female,Simpang,75 - 79,0,
Female,Simpang,80 - 84,0,
Female,Simpang,85 & Over,0,
Female,Singapore River,0 - 4,120,8.39%
Female,Singapore River,5 - 9,90,6.29%
Female,Singapore River,10 - 14,70,4.90%
Female,Singapore River,15 - 19,50,3.50%
Female,Singapore River,20 - 24,50,3.50%
Female,Singapore River,25 - 29,50,3.50%
Female,Singapore River,30 - 34,170,11.89%
Female,Singapore River,35 - 39,190,13.29%
Female,Singapore River,40 - 44,220,15.38%
Female,Singapore River,45 - 49,130,9.09%
Female,Singapore River,50 - 54,80,5.59%
Female,Singapore River,55 - 59,70,4.90%
Female,Singapore River,60 - 64,50,3.50%
Female,Singapore River,65 - 69,40,2.80%
Female,Singapore River,70 - 74,20,1.40%
Female,Singapore River,75 - 79,20,1.40%
Female,Singapore River,80 - 84,0,0.00%
Female,Singapore River,85 & Over,10,0.70%
Female,Southern Islands,0 - 4,40,5.26%
Female,Southern Islands,5 - 9,50,6.58%
Female,Southern Islands,10 - 14,50,6.58%
Female,Southern Islands,15 - 19,60,7.89%
Female,Southern Islands,20 - 24,50,6.58%
Female,Southern Islands,25 - 29,40,5.26%
Female,Southern Islands,30 - 34,40,5.26%
Female,Southern Islands,35 - 39,60,7.89%
Female,Southern Islands,40 - 44,90,11.84%
Female,Southern Islands,45 - 49,100,13.16%
Female,Southern Islands,50 - 54,70,9.21%
Female,Southern Islands,55 - 59,40,5.26%
Female,Southern Islands,60 - 64,30,3.95%
Female,Southern Islands,65 - 69,20,2.63%
Female,Southern Islands,70 - 74,10,1.32%
Female,Southern Islands,75 - 79,10,1.32%
Female,Southern Islands,80 - 84,0,0.00%
Female,Southern Islands,85 & Over,0,0.00%
Female,Straits View,0 - 4,0,
Female,Straits View,5 - 9,0,
Female,Straits View,10 - 14,0,
Female,Straits View,15 - 19,0,
Female,Straits View,20 - 24,0,
Female,Straits View,25 - 29,0,
Female,Straits View,30 - 34,0,
Female,Straits View,35 - 39,0,
Female,Straits View,40 - 44,0,
Female,Straits View,45 - 49,0,
Female,Straits View,50 - 54,0,
Female,Straits View,55 - 59,0,
Female,Straits View,60 - 64,0,
Female,Straits View,65 - 69,0,
Female,Straits View,70 - 74,0,
Female,Straits View,75 - 79,0,
Female,Straits View,80 - 84,0,
Female,Straits View,85 & Over,0,
Female,Sungei Kadut,0 - 4,10,2.38%
Female,Sungei Kadut,5 - 9,10,2.38%
Female,Sungei Kadut,10 - 14,20,4.76%
Female,Sungei Kadut,15 - 19,30,7.14%
Female,Sungei Kadut,20 - 24,20,4.76%
Female,Sungei Kadut,25 - 29,20,4.76%
Female,Sungei Kadut,30 - 34,20,4.76%
Female,Sungei Kadut,35 - 39,20,4.76%
Female,Sungei Kadut,40 - 44,20,4.76%
Female,Sungei Kadut,45 - 49,30,7.14%
Female,Sungei Kadut,50 - 54,30,7.14%
Female,Sungei Kadut,55 - 59,30,7.14%
Female,Sungei Kadut,60 - 64,20,4.76%
Female,Sungei Kadut,65 - 69,30,7.14%
Female,Sungei Kadut,70 - 74,20,4.76%
Female,Sungei Kadut,75 - 79,20,4.76%
Female,Sungei Kadut,80 - 84,20,4.76%
Female,Sungei Kadut,85 & Over,50,11.90%
Female,Tampines,0 - 4,5360,4.03%
Female,Tampines,5 - 9,5930,4.46%
Female,Tampines,10 - 14,6800,5.11%
Female,Tampines,15 - 19,8790,6.61%
Female,Tampines,20 - 24,10410,7.82%
Female,Tampines,25 - 29,10110,7.60%
Female,Tampines,30 - 34,9730,7.31%
Female,Tampines,35 - 39,9280,6.97%
Female,Tampines,40 - 44,9590,7.21%
Female,Tampines,45 - 49,10580,7.95%
Female,Tampines,50 - 54,11910,8.95%
Female,Tampines,55 - 59,11530,8.66%
Female,Tampines,60 - 64,8510,6.39%
Female,Tampines,65 - 69,5730,4.31%
Female,Tampines,70 - 74,2970,2.23%
Female,Tampines,75 - 79,2490,1.87%
Female,Tampines,80 - 84,1780,1.34%
Female,Tampines,85 & Over,1580,1.19%
Female,Tanglin,0 - 4,480,4.69%
Female,Tanglin,5 - 9,720,7.03%
Female,Tanglin,10 - 14,590,5.76%
Female,Tanglin,15 - 19,580,5.66%
Female,Tanglin,20 - 24,530,5.18%
Female,Tanglin,25 - 29,500,4.88%
Female,Tanglin,30 - 34,690,6.74%
Female,Tanglin,35 - 39,900,8.79%
Female,Tanglin,40 - 44,1070,10.45%
Female,Tanglin,45 - 49,920,8.98%
Female,Tanglin,50 - 54,760,7.42%
Female,Tanglin,55 - 59,660,6.45%
Female,Tanglin,60 - 64,590,5.76%
Female,Tanglin,65 - 69,470,4.59%
Female,Tanglin,70 - 74,270,2.64%
Female,Tanglin,75 - 79,210,2.05%
Female,Tanglin,80 - 84,130,1.27%
Female,Tanglin,85 & Over,170,1.66%
Female,Tengah,0 - 4,0,
Female,Tengah,5 - 9,0,
Female,Tengah,10 - 14,0,
Female,Tengah,15 - 19,0,
Female,Tengah,20 - 24,0,
Female,Tengah,25 - 29,0,
Female,Tengah,30 - 34,0,
Female,Tengah,35 - 39,0,
Female,Tengah,40 - 44,0,
Female,Tengah,45 - 49,0,
Female,Tengah,50 - 54,0,
Female,Tengah,55 - 59,0,
Female,Tengah,60 - 64,0,
Female,Tengah,65 - 69,0,
Female,Tengah,70 - 74,0,
Female,Tengah,75 - 79,0,
Female,Tengah,80 - 84,0,
Female,Tengah,85 & Over,0,
Female,Toa Payoh,0 - 4,2410,3.70%
Female,Toa Payoh,5 - 9,2740,4.20%
Female,Toa Payoh,10 - 14,2790,4.28%
Female,Toa Payoh,15 - 19,3180,4.88%
Female,Toa Payoh,20 - 24,3650,5.60%
Female,Toa Payoh,25 - 29,3980,6.11%
Female,Toa Payoh,30 - 34,4550,6.98%
Female,Toa Payoh,35 - 39,4780,7.33%
Female,Toa Payoh,40 - 44,5320,8.16%
Female,Toa Payoh,45 - 49,4830,7.41%
Female,Toa Payoh,50 - 54,4930,7.56%
Female,Toa Payoh,55 - 59,4980,7.64%
Female,Toa Payoh,60 - 64,4300,6.60%
Female,Toa Payoh,65 - 69,4080,6.26%
Female,Toa Payoh,70 - 74,2810,4.31%
Female,Toa Payoh,75 - 79,2600,3.99%
Female,Toa Payoh,80 - 84,1700,2.61%
Female,Toa Payoh,85 & Over,1550,2.38%
Female,Tuas,0 - 4,0,
Female,Tuas,5 - 9,0,
Female,Tuas,10 - 14,0,
Female,Tuas,15 - 19,0,
Female,Tuas,20 - 24,0,
Female,Tuas,25 - 29,0,
Female,Tuas,30 - 34,0,
Female,Tuas,35 - 39,0,
Female,Tuas,40 - 44,0,
Female,Tuas,45 - 49,0,
Female,Tuas,50 - 54,0,
Female,Tuas,55 - 59,0,
Female,Tuas,60 - 64,0,
Female,Tuas,65 - 69,0,
Female,Tuas,70 - 74,0,
Female,Tuas,75 - 79,0,
Female,Tuas,80 - 84,0,
Female,Tuas,85 & Over,0,
Female,Western Islands,0 - 4,0,
Female,Western Islands,5 - 9,0,
Female,Western Islands,10 - 14,0,
Female,Western Islands,15 - 19,0,
Female,Western Islands,20 - 24,0,
Female,Western Islands,25 - 29,0,
Female,Western Islands,30 - 34,0,
Female,Western Islands,35 - 39,0,
Female,Western Islands,40 - 44,0,
Female,Western Islands,45 - 49,0,
Female,Western Islands,50 - 54,0,
Female,Western Islands,55 - 59,0,
Female,Western Islands,60 - 64,0,
Female,Western Islands,65 - 69,0,
Female,Western Islands,70 - 74,0,
Female,Western Islands,75 - 79,0,
Female,Western Islands,80 - 84,0,
Female,Western Islands,85 & Over,0,
Female,Western Water Catchment,0 - 4,20,3.92%
Female,Western Water Catchment,5 - 9,20,3.92%
Female,Western Water Catchment,10 - 14,30,5.88%
Female,Western Water Catchment,15 - 19,20,3.92%
Female,Western Water Catchment,20 - 24,110,21.57%
Female,Western Water Catchment,25 - 29,50,9.80%
Female,Western Water Catchment,30 - 34,30,5.88%
Female,Western Water Catchment,35 - 39,40,7.84%
Female,Western Water Catchment,40 - 44,50,9.80%
Female,Western Water Catchment,45 - 49,30,5.88%
Female,Western Water Catchment,50 - 54,30,5.88%
Female,Western Water Catchment,55 - 59,20,3.92%
Female,Western Water Catchment,60 - 64,10,1.96%
Female,Western Water Catchment,65 - 69,0,0.00%
Female,Western Water Catchment,70 - 74,10,1.96%
Female,Western Water Catchment,75 - 79,0,0.00%
Female,Western Water Catchment,80 - 84,10,1.96%
Female,Western Water Catchment,85 & Over,30,5.88%
Female,Woodlands,0 - 4,5760,4.63%
Female,Woodlands,5 - 9,7030,5.65%
Female,Woodlands,10 - 14,8220,6.61%
Female,Woodlands,15 - 19,10200,8.20%
Female,Woodlands,20 - 24,9740,7.83%
Female,Woodlands,25 - 29,8910,7.16%
Female,Woodlands,30 - 34,9400,7.56%
Female,Woodlands,35 - 39,9670,7.77%
Female,Woodlands,40 - 44,11100,8.92%
Female,Woodlands,45 - 49,11120,8.94%
Female,Woodlands,50 - 54,9990,8.03%
Female,Woodlands,55 - 59,8010,6.44%
Female,Woodlands,60 - 64,5520,4.44%
Female,Woodlands,65 - 69,3890,3.13%
Female,Woodlands,70 - 74,2190,1.76%
Female,Woodlands,75 - 79,1710,1.37%
Female,Woodlands,80 - 84,1110,0.89%
Female,Woodlands,85 & Over,810,0.65%
Female,Yishun,0 - 4,4970,4.87%
Female,Yishun,5 - 9,4900,4.80%
Female,Yishun,10 - 14,5050,4.95%
Female,Yishun,15 - 19,5910,5.79%
Female,Yishun,20 - 24,7260,7.12%
Female,Yishun,25 - 29,8660,8.49%
Female,Yishun,30 - 34,8690,8.52%
Female,Yishun,35 - 39,7890,7.73%
Female,Yishun,40 - 44,7630,7.48%
Female,Yishun,45 - 49,7600,7.45%
Female,Yishun,50 - 54,8780,8.61%
Female,Yishun,55 - 59,8090,7.93%
Female,Yishun,60 - 64,6070,5.95%
Female,Yishun,65 - 69,4260,4.18%
Female,Yishun,70 - 74,2330,2.28%
Female,Yishun,75 - 79,1740,1.71%
Female,Yishun,80 - 84,1170,1.15%
Female,Yishun,85 & Over,1010,0.99%
Male,Ang Mo Kio,0 - 4,3480,4.13%
Male,Ang Mo Kio,5 - 9,3890,4.62%
Male,Ang Mo Kio,10 - 14,4200,4.98%
Male,Ang Mo Kio,15 - 19,4740,5.63%
Male,Ang Mo Kio,20 - 24,5130,6.09%
Male,Ang Mo Kio,25 - 29,5370,6.37%
Male,Ang Mo Kio,30 - 34,5790,6.87%
Male,Ang Mo Kio,35 - 39,6190,7.35%
Male,Ang Mo Kio,40 - 44,6620,7.86%
Male,Ang Mo Kio,45 - 49,6330,7.51%
Male,Ang Mo Kio,50 - 54,7000,8.31%
Male,Ang Mo Kio,55 - 59,6680,7.93%
Male,Ang Mo Kio,60 - 64,6050,7.18%
Male,Ang Mo Kio,65 - 69,5240,6.22%
Male,Ang Mo Kio,70 - 74,3080,3.66%
Male,Ang Mo Kio,75 - 79,2350,2.79%
Male,Ang Mo Kio,80 - 84,1330,1.58%
Male,Ang Mo Kio,85 & Over,790,0.94%
Male,Bedok,0 - 4,5930,4.20%
Male,Bedok,5 - 9,6750,4.78%
Male,Bedok,10 - 14,7480,5.30%
Male,Bedok,15 - 19,8780,6.22%
Male,Bedok,20 - 24,9850,6.97%
Male,Bedok,25 - 29,9880,6.99%
Male,Bedok,30 - 34,9200,6.51%
Male,Bedok,35 - 39,9750,6.90%
Male,Bedok,40 - 44,10870,7.70%
Male,Bedok,45 - 49,10600,7.50%
Male,Bedok,50 - 54,11550,8.18%
Male,Bedok,55 - 59,11500,8.14%
Male,Bedok,60 - 64,10010,7.09%
Male,Bedok,65 - 69,8170,5.78%
Male,Bedok,70 - 74,4440,3.14%
Male,Bedok,75 - 79,3260,2.31%
Male,Bedok,80 - 84,1920,1.36%
Male,Bedok,85 & Over,1310,0.93%
Male,Bishan,0 - 4,1800,4.08%
Male,Bishan,5 - 9,2300,5.21%
Male,Bishan,10 - 14,2490,5.64%
Male,Bishan,15 - 19,2920,6.62%
Male,Bishan,20 - 24,3590,8.13%
Male,Bishan,25 - 29,3220,7.29%
Male,Bishan,30 - 34,2690,6.09%
Male,Bishan,35 - 39,2800,6.34%
Male,Bishan,40 - 44,3330,7.54%
Male,Bishan,45 - 49,3210,7.27%
Male,Bishan,50 - 54,3470,7.86%
Male,Bishan,55 - 59,3750,8.50%
Male,Bishan,60 - 64,3130,7.09%
Male,Bishan,65 - 69,2340,5.30%
Male,Bishan,70 - 74,1270,2.88%
Male,Bishan,75 - 79,970,2.20%
Male,Bishan,80 - 84,530,1.20%
Male,Bishan,85 & Over,330,0.75%
Male,Boon Lay,0 - 4,0,
Male,Boon Lay,5 - 9,0,
Male,Boon Lay,10 - 14,0,
Male,Boon Lay,15 - 19,0,
Male,Boon Lay,20 - 24,0,
Male,Boon Lay,25 - 29,0,
Male,Boon Lay,30 - 34,0,
Male,Boon Lay,35 - 39,0,
Male,Boon Lay,40 - 44,0,
Male,Boon Lay,45 - 49,0,
Male,Boon Lay,50 - 54,0,
Male,Boon Lay,55 - 59,0,
Male,Boon Lay,60 - 64,0,
Male,Boon Lay,65 - 69,0,
Male,Boon Lay,70 - 74,0,
Male,Boon Lay,75 - 79,0,
Male,Boon Lay,80 - 84,0,
Male,Boon Lay,85 & Over,0,
Male,Bukit Batok,0 - 4,2830,4.12%
Male,Bukit Batok,5 - 9,3450,5.02%
Male,Bukit Batok,10 - 14,4010,5.84%
Male,Bukit Batok,15 - 19,4680,6.81%
Male,Bukit Batok,20 - 24,5060,7.37%
Male,Bukit Batok,25 - 29,5220,7.60%
Male,Bukit Batok,30 - 34,4650,6.77%
Male,Bukit Batok,35 - 39,4710,6.86%
Male,Bukit Batok,40 - 44,5300,7.72%
Male,Bukit Batok,45 - 49,5600,8.15%
Male,Bukit Batok,50 - 54,6020,8.76%
Male,Bukit Batok,55 - 59,5920,8.62%
Male,Bukit Batok,60 - 64,4780,6.96%
Male,Bukit Batok,65 - 69,3010,4.38%
Male,Bukit Batok,70 - 74,1450,2.11%
Male,Bukit Batok,75 - 79,1060,1.54%
Male,Bukit Batok,80 - 84,570,0.83%
Male,Bukit Batok,85 & Over,370,0.54%
Male,Bukit Merah,0 - 4,3680,4.87%
Male,Bukit Merah,5 - 9,3750,4.96%
Male,Bukit Merah,10 - 14,3420,4.53%
Male,Bukit Merah,15 - 19,3420,4.53%
Male,Bukit Merah,20 - 24,3850,5.10%
Male,Bukit Merah,25 - 29,4540,6.01%
Male,Bukit Merah,30 - 34,5240,6.94%
Male,Bukit Merah,35 - 39,6080,8.05%
Male,Bukit Merah,40 - 44,6260,8.29%
Male,Bukit Merah,45 - 49,5780,7.65%
Male,Bukit Merah,50 - 54,5790,7.66%
Male,Bukit Merah,55 - 59,5970,7.90%
Male,Bukit Merah,60 - 64,5240,6.94%
Male,Bukit Merah,65 - 69,4600,6.09%
Male,Bukit Merah,70 - 74,2890,3.83%
Male,Bukit Merah,75 - 79,2500,3.31%
Male,Bukit Merah,80 - 84,1480,1.96%
Male,Bukit Merah,85 & Over,1050,1.39%
Male,Bukit Panjang,0 - 4,3770,5.44%
Male,Bukit Panjang,5 - 9,3850,5.56%
Male,Bukit Panjang,10 - 14,4340,6.27%
Male,Bukit Panjang,15 - 19,4800,6.93%
Male,Bukit Panjang,20 - 24,5350,7.73%
Male,Bukit Panjang,25 - 29,5380,7.77%
Male,Bukit Panjang,30 - 34,5270,7.61%
Male,Bukit Panjang,35 - 39,4830,6.98%
Male,Bukit Panjang,40 - 44,5420,7.83%
Male,Bukit Panjang,45 - 49,5240,7.57%
Male,Bukit Panjang,50 - 54,5730,8.28%
Male,Bukit Panjang,55 - 59,5530,7.99%
Male,Bukit Panjang,60 - 64,4030,5.82%
Male,Bukit Panjang,65 - 69,2630,3.80%
Male,Bukit Panjang,70 - 74,1300,1.88%
Male,Bukit Panjang,75 - 79,900,1.30%
Male,Bukit Panjang,80 - 84,530,0.77%
Male,Bukit Panjang,85 & Over,340,0.49%
Male,Bukit Timah,0 - 4,1520,4.38%
Male,Bukit Timah,5 - 9,2020,5.82%
Male,Bukit Timah,10 - 14,2260,6.51%
Male,Bukit Timah,15 - 19,2260,6.51%
Male,Bukit Timah,20 - 24,2330,6.71%
Male,Bukit Timah,25 - 29,1960,5.65%
Male,Bukit Timah,30 - 34,1690,4.87%
Male,Bukit Timah,35 - 39,2180,6.28%
Male,Bukit Timah,40 - 44,3050,8.79%
Male,Bukit Timah,45 - 49,3040,8.76%
Male,Bukit Timah,50 - 54,2770,7.98%
Male,Bukit Timah,55 - 59,2550,7.35%
Male,Bukit Timah,60 - 64,2210,6.37%
Male,Bukit Timah,65 - 69,1930,5.56%
Male,Bukit Timah,70 - 74,1140,3.28%
Male,Bukit Timah,75 - 79,860,2.48%
Male,Bukit Timah,80 - 84,560,1.61%
Male,Bukit Timah,85 & Over,380,1.09%
Male,Central Water Catchment,0 - 4,0,
Male,Central Water Catchment,5 - 9,0,
Male,Central Water Catchment,10 - 14,0,
Male,Central Water Catchment,15 - 19,0,
Male,Central Water Catchment,20 - 24,0,
Male,Central Water Catchment,25 - 29,0,
Male,Central Water Catchment,30 - 34,0,
Male,Central Water Catchment,35 - 39,0,
Male,Central Water Catchment,40 - 44,0,
Male,Central Water Catchment,45 - 49,0,
Male,Central Water Catchment,50 - 54,0,
Male,Central Water Catchment,55 - 59,0,
Male,Central Water Catchment,60 - 64,0,
Male,Central Water Catchment,65 - 69,0,
Male,Central Water Catchment,70 - 74,0,
Male,Central Water Catchment,75 - 79,0,
Male,Central Water Catchment,80 - 84,0,
Male,Central Water Catchment,85 & Over,0,
Male,Changi,0 - 4,90,6.92%
Male,Changi,5 - 9,110,8.46%
Male,Changi,10 - 14,120,9.23%
Male,Changi,15 - 19,90,6.92%
Male,Changi,20 - 24,60,4.62%
Male,Changi,25 - 29,50,3.85%
Male,Changi,30 - 34,70,5.38%
Male,Changi,35 - 39,110,8.46%
Male,Changi,40 - 44,160,12.31%
Male,Changi,45 - 49,120,9.23%
Male,Changi,50 - 54,80,6.15%
Male,Changi,55 - 59,60,4.62%
Male,Changi,60 - 64,60,4.62%
Male,Changi,65 - 69,50,3.85%
Male,Changi,70 - 74,30,2.31%
Male,Changi,75 - 79,10,0.77%
Male,Changi,80 - 84,10,0.77%
Male,Changi,85 & Over,20,1.54%
Male,Changi Bay,0 - 4,0,
Male,Changi Bay,5 - 9,0,
Male,Changi Bay,10 - 14,0,
Male,Changi Bay,15 - 19,0,
Male,Changi Bay,20 - 24,0,
Male,Changi Bay,25 - 29,0,
Male,Changi Bay,30 - 34,0,
Male,Changi Bay,35 - 39,0,
Male,Changi Bay,40 - 44,0,
Male,Changi Bay,45 - 49,0,
Male,Changi Bay,50 - 54,0,
Male,Changi Bay,55 - 59,0,
Male,Changi Bay,60 - 64,0,
Male,Changi Bay,65 - 69,0,
Male,Changi Bay,70 - 74,0,
Male,Changi Bay,75 - 79,0,
Male,Changi Bay,80 - 84,0,
Male,Changi Bay,85 & Over,0,
Male,Choa Chu Kang,0 - 4,3650,4.19%
Male,Choa Chu Kang,5 - 9,4840,5.56%
Male,Choa Chu Kang,10 - 14,5700,6.55%
Male,Choa Chu Kang,15 - 19,7680,8.82%
Male,Choa Chu Kang,20 - 24,7820,8.99%
Male,Choa Chu Kang,25 - 29,6070,6.97%
Male,Choa Chu Kang,30 - 34,5520,6.34%
Male,Choa Chu Kang,35 - 39,5670,6.51%
Male,Choa Chu Kang,40 - 44,6430,7.39%
Male,Choa Chu Kang,45 - 49,7690,8.84%
Male,Choa Chu Kang,50 - 54,8360,9.61%
Male,Choa Chu Kang,55 - 59,6840,7.86%
Male,Choa Chu Kang,60 - 64,4650,5.34%
Male,Choa Chu Kang,65 - 69,2840,3.26%
Male,Choa Chu Kang,70 - 74,1400,1.61%
Male,Choa Chu Kang,75 - 79,980,1.13%
Male,Choa Chu Kang,80 - 84,540,0.62%
Male,Choa Chu Kang,85 & Over,350,0.40%
Male,Clementi,0 - 4,1970,4.48%
Male,Clementi,5 - 9,2250,5.12%
Male,Clementi,10 - 14,2280,5.19%
Male,Clementi,15 - 19,2360,5.37%
Male,Clementi,20 - 24,2430,5.53%
Male,Clementi,25 - 29,2790,6.35%
Male,Clementi,30 - 34,3180,7.24%
Male,Clementi,35 - 39,3430,7.81%
Male,Clementi,40 - 44,3670,8.35%
Male,Clementi,45 - 49,3390,7.72%
Male,Clementi,50 - 54,3490,7.94%
Male,Clementi,55 - 59,3040,6.92%
Male,Clementi,60 - 64,2900,6.60%
Male,Clementi,65 - 69,2900,6.60%
Male,Clementi,70 - 74,1610,3.66%
Male,Clementi,75 - 79,1220,2.78%
Male,Clementi,80 - 84,600,1.37%
Male,Clementi,85 & Over,420,0.96%
Male,Downtown Core,0 - 4,40,2.35%
Male,Downtown Core,5 - 9,50,2.94%
Male,Downtown Core,10 - 14,30,1.76%
Male,Downtown Core,15 - 19,70,4.12%
Male,Downtown Core,20 - 24,50,2.94%
Male,Downtown Core,25 - 29,100,5.88%
Male,Downtown Core,30 - 34,150,8.82%
Male,Downtown Core,35 - 39,150,8.82%
Male,Downtown Core,40 - 44,170,10.00%
Male,Downtown Core,45 - 49,170,10.00%
Male,Downtown Core,50 - 54,140,8.24%
Male,Downtown Core,55 - 59,160,9.41%
Male,Downtown Core,60 - 64,110,6.47%
Male,Downtown Core,65 - 69,110,6.47%
Male,Downtown Core,70 - 74,60,3.53%
Male,Downtown Core,75 - 79,50,2.94%
Male,Downtown Core,80 - 84,20,1.18%
Male,Downtown Core,85 & Over,70,4.12%
Male,Geylang,0 - 4,2290,3.94%
Male,Geylang,5 - 9,2810,4.84%
Male,Geylang,10 - 14,2720,4.68%
Male,Geylang,15 - 19,3220,5.54%
Male,Geylang,20 - 24,3830,6.59%
Male,Geylang,25 - 29,4090,7.04%
Male,Geylang,30 - 34,3940,6.78%
Male,Geylang,35 - 39,4180,7.19%
Male,Geylang,40 - 44,4470,7.69%
Male,Geylang,45 - 49,4440,7.64%
Male,Geylang,50 - 54,5000,8.61%
Male,Geylang,55 - 59,5000,8.61%
Male,Geylang,60 - 64,4090,7.04%
Male,Geylang,65 - 69,3140,5.40%
Male,Geylang,70 - 74,1840,3.17%
Male,Geylang,75 - 79,1460,2.51%
Male,Geylang,80 - 84,920,1.58%
Male,Geylang,85 & Over,660,1.14%
Male,Hougang,0 - 4,4290,3.91%
Male,Hougang,5 - 9,5010,4.57%
Male,Hougang,10 - 14,5980,5.45%
Male,Hougang,15 - 19,7400,6.75%
Male,Hougang,20 - 24,8600,7.84%
Male,Hougang,25 - 29,8360,7.63%
Male,Hougang,30 - 34,7250,6.61%
Male,Hougang,35 - 39,6980,6.37%
